year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
2003.7914,13.22,11.32,,
2003.8186,,10.86,,
2003.8187,16.52,,,
2003.8457,16.73,10.07,,
2003.8708,,8.89,,
2003.8728,7.13,,,
2003.9,8.95,,,
2003.9112,,6.42,,
2003.9271,13.6,,,
2003.9272,,11.35,,
2003.9543,17.97,11.18,,
2003.9813,17.96,,,
2003.9815,,8.11,,
2004.0086,11.19,8.85,,
2004.0358,8.96,,,
2004.0359,,13.76,,
2004.0628,,13.03,,
2004.0629,8.03,,,
2004.0898,10.68,,,
2004.0901,,11.86,,
2004.1135,,6.1,,
2004.1173,15.81,,,
2004.1443,12.84,,,
2004.1489,,11.06,,
2004.1715,15.22,12.05,,
2004.1986,7.82,11.3,,
2004.2258,10,,,
2004.2259,,11.84,,
2004.2513,,13.9,,
2004.2531,16.61,,,
2004.2801,17.99,11.05,,
2004.3073,,14.37,,
2004.3075,21.66,,,
2004.3343,15.6,,,
2004.3344,,9.68,,
2004.3615,13.59,9.98,,
2004.3884,11.78,,,
2004.3886,,9.15,,
2004.4158,,12.86,,
2004.4429,,12.25,,
2004.4702,,10.8,,
2004.4728,18.94,,,
2004.4971,13.56,,,
2004.4973,,14.76,,
2004.5226,9.39,,,
2004.5244,,14.01,,
2004.5497,7.39,,,
2004.5516,,12.03,,
2004.5771,8.07,,,
2004.5787,,9.25,,
2004.606,,10.57,,
2004.6063,15.49,,,
2004.633,,13.07,,
2004.6331,16.87,,,
2004.6601,,12.51,,
2004.6602,13.38,,,
2004.687,7.95,,,
2004.6873,,13.97,,
2004.7143,11.25,,,
2004.7145,,16.63,,
2004.7416,,11.99,,
2004.7417,7.21,,,
2004.7686,17.14,,,
2004.7687,,13.41,,
2004.7959,,14.36,,
2004.796,14.97,,,
2004.8231,10.04,,,
2004.8232,,12.76,,
2004.8502,8.32,13.23,,
2004.8773,9.08,,,
2004.8774,,13.45,,
2004.9044,,8.17,,
2004.9045,9.05,,,
2004.9317,,11.75,,
2004.9318,16.73,,,
2004.9541,14.46,,,
2004.959,,13,,
2004.9859,12.59,,,
2004.986,,19.23,,
2005.0129,2.09,,,
2005.0131,,14.47,,
2005.0401,5.63,,,
2005.0402,,13.95,,
2005.0675,12.28,16.22,,
2005.0945,18.28,15.41,,
2005.1217,15.17,16.23,,
2005.1488,7.88,,,
2005.1491,,15.96,,
2005.1759,11.04,19.42,,
2005.2031,,17.85,,
2005.2033,9.84,,,
2005.2301,,12.67,,
2005.2303,10.02,,,
2005.2574,13.13,13.34,,
2005.2844,,18.27,,
2005.2847,16.83,,,
2005.3106,7.09,,,
2005.3117,,15.49,,
2005.3389,,16.7,,
2005.3394,8.47,,,
2005.3659,12.16,,,
2005.366,,16.6,,
2005.3932,16.55,,,
2005.3933,,15.66,,
2005.42,13.45,,,
2005.4203,,16.05,,
2005.4474,12.9,17.22,,
2005.4745,8.33,,,
2005.4746,,17.44,,
2005.5017,6.18,16.57,,
2005.5289,,18.88,,
2005.5291,11,,,
2005.556,,15.07,,
2005.5561,14.33,,,
2005.5831,17.56,,,
2005.5833,,16.74,,
2005.6102,15.66,,,
2005.6103,,14.55,,
2005.6376,,15.33,,
2005.6377,9.79,,,
2005.6646,,17.07,,
2005.6647,8.1,,,
2005.6917,12.87,,,
2005.6918,,17.84,,
2005.7137,,17.27,,
2005.719,17.61,,,
2005.7462,16.04,,,
2005.7511,,16.95,,
2005.7656,16.02,,,
2005.7734,,17.69,,
2005.8004,,16.4,,
2005.8275,,16.76,,
2005.8547,,19.79,,
2005.8818,,19.26,,
2005.9091,,17.84,,
2005.9362,,18.84,,
2005.9633,,19.81,,
2005.9906,,20.26,,
2006.0176,,18.59,,
2006.0447,,14.16,,
2006.0719,,16.89,,
2006.0991,,17.66,,
2006.1262,,16.64,,
2006.1535,,16.75,,
2006.1804,,17.68,,
2006.2076,,13.39,,
2006.2347,,17.1,,
2006.2619,,16.16,,
2006.289,,15.89,,
2006.3163,,15.81,,
2006.3433,,16.12,,
2006.3705,,19.51,,
2006.3975,,19.56,,
2006.4248,,19.14,,
2006.4519,,18.59,,
2006.4791,,17.88,,
2006.5064,,19.37,,
2006.5334,,19.04,,
2006.5605,,18.3,,
2006.5877,,16.64,,
2006.6148,,14.02,,
2006.642,,17.19,,
2006.6691,,19.73,,
2006.6963,,19.51,,
2006.7235,,20.33,,
2006.7507,,19.26,,
2006.7777,,20.49,,
2006.8049,,19.75,,
2006.8244,,19.26,,
2006.8894,,17.68,,
2006.9135,,16.7,,
2006.9403,,21.23,,
2006.9679,,19.93,,
2006.9949,,18.87,,
2007.022,,16.2,,
2007.0492,,14.75,,
2007.0765,,17.87,,
2007.1035,,16.8,,
2007.1303,,16.35,,
2007.1578,,18.23,,
2007.1849,,16.54,,
2007.2121,,18.03,,
2007.2392,,18.53,,
2007.266,,21.28,,
2007.2935,,21.21,,
2007.3207,,20.32,,
2007.3479,,14.63,,
2007.375,,19.62,,
2007.4022,,20.86,,
2007.4292,,18.72,,
2007.4564,,15.35,,
2007.4836,,15.31,,
2007.5107,,16.17,,
2007.5378,,15.01,,
2007.565,,14.42,,
2007.5921,,16.14,,
2007.6193,,19.29,,
2007.6466,,16.64,,
2007.6736,,14.89,,
2007.7007,,15.09,,
2007.7279,,20.34,,
2007.755,,19.52,,
2007.7822,,17.69,,
2007.8093,,17.61,,
